,emitterName,latentVector,completionPercentage,jumpActionsPerformed,killsTotal,livesLeft,coinsCollected,remainingTime (20-timeSpent),calc_higher_level_non_empty_blocks,calc_num_enemies
23,CMA-ME,"[ 0.27359114 -0.24603911  0.42813288  0.02532765  0.12470636 -0.06984607
  0.13193791  0.12298427  0.32882306  0.22256612 -0.26889324 -0.00789259
 -0.43864333  0.01890657  0.10495771  0.20740656  0.11979335 -0.08825332
  0.22402574 -0.13998831  0.09241718  0.06335011  0.2449749   0.47012514
 -0.0795156  -0.02849026  0.378797   -0.22055113 -0.2288462  -0.01620997
  0.03203311  0.12170458]",0,0,0,0,0,0,0.0,0.0
24,CMA-ME,"[-0.07289682 -0.13265984 -0.17810755  0.07235901  0.04001425 -0.12375254
  0.17661902  0.16116982 -0.18926586 -0.10534238  0.01683617 -0.36610308
  0.23010072 -0.14247768  0.15656654 -0.11150005 -0.22469983 -0.25815589
 -0.0626663   0.08287675 -0.10017836  0.16132292  0.10132423 -0.14107637
  0.3058496  -0.05568807 -0.65866165 -0.06273448  0.00436703  0.17888984
 -0.00247115 -0.16481986]",0,0,0,0,0,0,0.0,0.0
25,CMA-ME,"[-0.02674046 -0.05528554  0.19599697 -0.09150813 -0.05499742  0.02571946
 -0.1878645  -0.26818723 -0.0245738   0.02400892  0.00290887 -0.24601298
 -0.1899901  -0.08885102  0.02316754 -0.28045674  0.0741143   0.05879846
  0.13524241 -0.24384488 -0.16536787 -0.16849423  0.10721969 -0.22177279
  0.18481682  0.02169223 -0.10891681  0.00790238 -0.05124064 -0.18951615
 -0.17759679  0.42443285]",0,0,0,0,0,0,0.0,0.0
26,CMA-ME,"[ 0.29106571 -0.27225735  0.08141454 -0.26667582 -0.09870099 -0.0686804
 -0.06799081  0.21510434  0.2371948  -0.36193281  0.00298056 -0.23415062
  0.00956042 -0.05725236  0.10847428  0.28747286 -0.17114484 -0.01877387
  0.05956721 -0.02333574 -0.06328352 -0.02066411 -0.34748171 -0.25009132
  0.08041727 -0.17601856  0.0407287  -0.1729266  -0.44366365 -0.11546913
 -0.5042767   0.07249327]",0,0,0,0,0,0,0.0,0.0
27,CMA-ME,"[ 0.29812918 -0.12016306  0.20915024 -0.27933448 -0.15705756  0.20250507
 -0.24276662  0.32257748  0.08327658 -0.31288775  0.02623597 -0.21245746
 -0.03724919 -0.07869714 -0.01334021  0.38859397  0.2109722   0.01937415
 -0.03102416 -0.19102574 -0.18213304 -0.44377117  0.02664093 -0.09761202
  0.01115117 -0.00479744 -0.09318833  0.16924243 -0.01533173 -0.08426195
 -0.06482416 -0.13686325]",0,0,0,0,0,0,0.0,0.0
28,CMA-ME,"[-0.12342072 -0.19135059 -0.02222303 -0.11622669 -0.24455164 -0.23290017
  0.2705478   0.23324636  0.11310067 -0.1970749  -0.09898001  0.06929421
  0.21651685 -0.28268245 -0.40707566  0.16370862  0.06705836  0.00483397
  0.04546806 -0.0300688   0.00968693 -0.11236989 -0.09375224 -0.0154332
  0.09522497 -0.13782491 -0.23813888  0.13724195 -0.05648154 -0.2210017
 -0.11108894 -0.02151917]",0,0,0,0,0,0,0.0,0.0
29,CMA-ME,"[-0.0554548  -0.01881797 -0.01937877  0.2109691   0.14751466  0.13904546
 -0.11214905  0.03863179  0.1307495   0.2986323   0.08377475 -0.05838262
  0.17225123  0.09116137  0.14664379  0.0325369  -0.25597848  0.14826155
  0.16221892  0.08508284  0.21681852 -0.09866581  0.28006702  0.33230956
 -0.08759527 -0.00640923  0.66750149  0.04184637 -0.00436638  0.16218888
  0.21928589 -0.62404873]",0,0,0,0,0,0,0.0,0.0
30,CMA-ME,"[-0.14911995  0.05100961  0.11167736  0.02501532  0.1474039   0.03258637
  0.07902781  0.2024744   0.12998961  0.09714687  0.34637294 -0.09871368
 -0.07189388  0.06994471  0.09992493  0.30680377 -0.15055137 -0.38023171
 -0.10281323 -0.14352491 -0.04491515  0.09339847  0.27459233  0.17336201
 -0.35969916 -0.03172914 -0.03311148 -0.10122794  0.09894077  0.09327966
 -0.34512914 -0.39971747]",0,0,0,0,0,0,0.0,0.0
31,CMA-ME,"[ 0.17170115 -0.05714022  0.01857488 -0.35307844  0.10918232  0.18836361
  0.18316482 -0.11824884  0.2106284  -0.12533433 -0.15180663 -0.09400855
 -0.29357987  0.1194937  -0.02054917 -0.1896287   0.00147147  0.20561735
 -0.04837939  0.31341314  0.19155666  0.00462398  0.14150292 -0.17163493
  0.12096013 -0.09679643 -0.04025018  0.22489394  0.43606758  0.16724166
  0.04016682  0.09143923]",0,0,0,0,0,0,0.0,0.0
32,CMA-ME,"[-0.13277772  0.28466287 -0.14951472 -0.18355975 -0.05699466  0.03701065
 -0.15018421  0.16138318  0.11453193  0.01028404 -0.06857566  0.07914588
 -0.16177703 -0.04399238  0.0616576  -0.18748522 -0.15874144 -0.11604338
  0.02849349 -0.14007077  0.23885825 -0.11245888  0.15817241 -0.06876322
 -0.01884985  0.07414327 -0.00580485  0.01315119  0.05380886  0.0287834
  0.02278463  0.08101188]",0,0,0,0,0,0,0.0,0.0
33,CMA-ME,"[ 0.18713139 -0.13296842 -0.37477215  0.26444846 -0.21968761  0.11818649
 -0.1750139  -0.123908   -0.12549573 -0.10792094 -0.20900206  0.1482632
  0.09044583 -0.15417319 -0.06880151  0.07616664 -0.26718731  0.08983634
  0.218379    0.05466568  0.02474409 -0.53234076  0.20487789 -0.09375004
  0.08294958 -0.10055227  0.08210233  0.13128354 -0.27053879 -0.28548989
  0.01092988  0.33052174]",0,0,0,0,0,0,0.0,0.0
34,CMA-ME,"[ 0.16106216  0.46682884 -0.04321151  0.03562869  0.1438869  -0.10242359
  0.15027924 -0.35248343 -0.06485166  0.66162338 -0.14298807 -0.39862476
  0.06680331 -0.03375642  0.13414521 -0.05173719 -0.06899175 -0.04441651
 -0.04132935  0.09720614 -0.05335784 -0.02708178  0.08461739  0.19747315
 -0.1283036  -0.16358976  0.15948454 -0.2353154   0.32667931  0.21610979
  0.16112098 -0.00255508]",0,0,0,0,0,0,0.0,0.0
35,CMA-ME,"[ 0.16145644 -0.21394926  0.03483628  0.26520722 -0.1682698   0.0967612
  0.30344689  0.38174325 -0.08074692  0.00707453 -0.01997837 -0.16295717
  0.06041933  0.02308186 -0.15208886 -0.14749106  0.18666813  0.51281564
 -0.27662854  0.10390078  0.31124586 -0.34156527 -0.30064824 -0.13689171
 -0.03577081 -0.01939946 -0.09452047  0.08640274 -0.04182227 -0.03809126
 -0.11188608  0.20975043]",0,0,0,0,0,0,0.0,0.0
36,CMA-ME,"[ 0.37049787 -0.03367173 -0.08934322 -0.04493411 -0.41224771  0.12375479
  0.10488521 -0.24683244  0.39879704  0.10496313  0.02708766 -0.1955387
  0.08785226  0.09003506 -0.30177308 -0.25887591 -0.07384546  0.16232926
 -0.30258865  0.1638754   0.03972969 -0.14199075 -0.06175261 -0.18031919
 -0.05354366 -0.27535692 -0.14610575  0.01768174  0.04356454 -0.03776024
 -0.1753811   0.16810711]",0,0,0,0,0,0,0.0,0.0
37,CMA-ME,"[ 0.18288545  0.04550751 -0.25630271 -0.17030866  0.13706135 -0.25770671
 -0.35641679  0.07397001  0.15640071  0.11606438 -0.07585609 -0.08129414
  0.18107688  0.07905696  0.15116616  0.02630647 -0.42046017  0.05168069
  0.02603077 -0.21735489 -0.21897023 -0.02710102 -0.21717435 -0.07753669
 -0.28325894  0.20776762 -0.00481164 -0.13063779  0.44361452 -0.30535404
  0.0764444   0.29464173]",0,0,0,0,0,0,0.0,0.0
38,CMA-ME,"[ 0.16766826  0.02444365 -0.20418722  0.0525994  -0.33694421 -0.09808509
 -0.0942725   0.11593499 -0.11274185 -0.10085438  0.30966624 -0.26240399
 -0.10660765 -0.13368655 -0.02026026 -0.20874369 -0.12028635  0.21908813
  0.13570451 -0.02129412 -0.05423034 -0.00684654  0.0452051   0.1791287
  0.06715154  0.04863763  0.24820006 -0.22744039  0.37073158 -0.00379556
 -0.14757023  0.21122477]",0,0,0,0,0,0,0.0,0.0
39,CMA-ME,"[-0.18194877 -0.1407799  -0.05816235  0.08479797  0.10789989 -0.10084104
 -0.13160623  0.36676576  0.02663929  0.31179887 -0.00588765 -0.20436474
  0.16642403 -0.34611675 -0.16883616  0.29716427  0.12626862 -0.09836349
 -0.28145578  0.14470362  0.24869518 -0.32556282  0.19310844  0.06116835
  0.01806424  0.30289472  0.26566346  0.01994349  0.04099142  0.1447306
  0.25122788  0.3522621 ]",0,0,0,0,0,0,0.0,0.0
40,CMA-ME,"[ 0.3159917   0.02406894  0.01069296 -0.12417909  0.42075216 -0.03401521
 -0.54159261  0.2254566  -0.13399424  0.32872692 -0.2411456  -0.00382617
 -0.29267145  0.30062334 -0.3729382  -0.05083473  0.06885568  0.18805995
 -0.14047631  0.05711637 -0.04233997  0.0549944   0.1987541  -0.0484912
  0.66382705  0.06895793 -0.15531752  0.06832227 -0.29096805  0.09321464
  0.17094288  0.25017315]",0,0,0,0,0,0,0.0,0.0
41,CMA-ME,"[-0.21451029  0.08584665 -0.11787782 -0.01516202 -0.05976243  0.15258993
  0.1636587   0.13388042  0.09261243 -0.15024565 -0.30493386 -0.03246877
 -0.14215754 -0.26060056 -0.11072704  0.12080909  0.01711108  0.02362372
 -0.30996085  0.16409364  0.06018881 -0.05746687  0.2217383  -0.0801529
 -0.58773951  0.21128618 -0.14126563  0.25262259 -0.26049684  0.26763423
  0.15725045 -0.59195508]",0,0,0,0,0,0,0.0,0.0
42,CMA-ME,"[-0.06640565 -0.33626428 -0.1708363  -0.09730705  0.07304488 -0.08569846
 -0.17105779 -0.08582136 -0.07977463 -0.35977878  0.04413073  0.01185794
  0.15356092  0.18682705  0.0561412   0.22480248 -0.15602478  0.05580526
 -0.11750166  0.20788083  0.06611771  0.10250272  0.12023728 -0.06969534
 -0.1688319   0.06035099  0.06484455 -0.08641117 -0.26695081  0.13977818
 -0.03246617 -0.24960974]",0,0,0,0,0,0,0.0,0.0
43,CMA-ME,"[ 0.12779667 -0.32914792 -0.23759097 -0.24784892 -0.11650553  0.17000243
  0.32383808 -0.18879959  0.02487556 -0.04017633  0.52944437  0.01999398
  0.12811514  0.31448903 -0.40617371 -0.21042047  0.18219614  0.30018767
 -0.03824978  0.11661492 -0.3502045  -0.09531692 -0.04046217  0.09611125
 -0.04671559  0.21967644 -0.29669815 -0.10688571  0.31183587 -0.04615719
  0.10159976 -0.08339286]",0,0,0,0,0,0,0.0,0.0
44,CMA-ME,"[ 0.13480108  0.18746817  0.25275589  0.24417293 -0.09965269 -0.05733524
 -0.27419392 -0.13666137  0.37004598  0.28855871 -0.25319875 -0.39803019
  0.20364676 -0.18368678 -0.07674082  0.15750826  0.26331017 -0.05834901
  0.23184201 -0.11609221  0.0087817   0.00466085  0.17754579  0.09109061
 -0.21635656 -0.13718285  0.13391721 -0.05843486 -0.00182427 -0.12992349
  0.16233715 -0.03240315]",0,0,0,0,0,0,0.0,0.0
